n;mae
250;0.139623418
255;0.134119198
260;0.142565474
265;0.136931866
270;0.136877745
275;0.135050163
280;0.136980459
285;0.140235364
290;0.134053081
295;0.13659817
5;0.138670862
10;0.138328716
15;0.143791169
20;0.137745917
25;0.136142775
30;0.146552607
35;0.133676261
40;0.138991982
45;0.136840284
50;0.136411697
55;0.1388302
60;0.135299891
65;0.141619742
70;0.137196392
75;0.136530772
80;0.137626663
85;0.13440834
90;0.139431745
95;0.137884021
100;0.135144606
105;0.140565097
110;0.137258738
115;0.134694174
120;0.137558877
125;0.139889598
130;0.136833698
135;0.136909366
140;0.136924759
145;0.138895854
150;0.136438489
155;0.137658253
160;0.137377769
165;0.134883225
170;0.135067955
175;0.136529624
180;0.141302258
185;0.138484344
190;0.135410473
195;0.133400008
200;0.140771374
205;0.137592107
210;0.137841672
215;0.139784381
220;0.135308757
225;0.135056645
230;0.137891948
235;0.140345111
240;0.139384434
245;0.139053032
250;0.134661064
255;0.139418557
260;0.135574371
265;0.143476665
270;0.13527593
275;0.135859028
280;0.141090125
285;0.137628436
290;0.137622565
295;0.14028804
5;0.142473489
10;0.141473725
15;0.141929716
20;0.134264857
25;0.142156407
30;0.140104607
35;0.138431117
40;0.136814043
45;0.135720611
50;0.13651748
55;0.136511147
60;0.13634263
65;0.14367716
70;0.136636272
75;0.136039615
80;0.138931602
85;0.138611123
90;0.14314954
95;0.139053151
100;0.133462608
105;0.139704406
110;0.142287239
115;0.140317053
120;0.137485102
125;0.13812463
130;0.135284677
135;0.135702282
140;0.136490002
145;0.138703749
150;0.139716998
155;0.137579799
160;0.136344507
165;0.135637328
170;0.13591142
175;0.136356845
180;0.137470976
185;0.139166042
190;0.138213202
195;0.134716108
200;0.138885826
205;0.139459401
210;0.140158102
215;0.137599006
220;0.134661302
225;0.134866923
230;0.141183093
235;0.138654575
240;0.137377873
245;0.136885732
250;0.135000333
255;0.136997864
260;0.136314079
265;0.137448102
270;0.135974854
275;0.135352373
280;0.139605597
285;0.136762321
290;0.13791585
295;0.138084397
5;0.144410685
10;0.135472029
15;0.136865497
20;0.146607161
25;0.138592303
30;0.139951602
35;0.141987652
40;0.147339046
45;0.13565354
50;0.141449735
55;0.139713868
60;0.137960166
65;0.139666215
70;0.136221185
75;0.140779659
80;0.139058873
85;0.13441354
90;0.141072884
95;0.138956204
100;0.140100792
105;0.140659586
110;0.136259317
115;0.141816095
120;0.134037808
125;0.1376715
130;0.136130273
135;0.134596929
140;0.136971682
145;0.133026719
150;0.135554686
155;0.137590945
160;0.138694912
165;0.136152625
170;0.138788909
175;0.13788639
180;0.13935253
185;0.135345295
190;0.135360241
195;0.137208089
200;0.140163481
205;0.137310296
210;0.137816787
215;0.139914915
220;0.136478215
225;0.136391491
230;0.136909992
235;0.137616128
240;0.137234032
245;0.134868398
250;0.138067871
255;0.140847638
260;0.136906832
265;0.13396953
270;0.136822283
275;0.134489298
280;0.138233513
285;0.135425299
290;0.140321732
295;0.142473176
5;0.143196627
10;0.140254393
15;0.140020981
20;0.14228034
25;0.13690418
30;0.136676311
35;0.135848954
40;0.141413227
45;0.135923505
50;0.137484416
55;0.140143275
60;0.138929904
65;0.138259456
70;0.137496024
75;0.136564225
80;0.136648491
85;0.138013959
90;0.141030923
95;0.141625956
100;0.137519047
105;0.139409214
110;0.135378361
115;0.13834241
120;0.135870561
125;0.136321172
130;0.136043936
135;0.133276835
140;0.140463889
145;0.135871306
150;0.136506155
155;0.14202103
160;0.140447095
165;0.13715449
170;0.136533827
175;0.135681838
180;0.138626948
185;0.13558197
190;0.135082841
195;0.137387425
200;0.138268411
205;0.139968842
210;0.135008395
215;0.136462227
220;0.141009957
225;0.138999999
230;0.13722226
235;0.138886511
240;0.136968359
245;0.136958942
250;0.144657493
255;0.137532562
260;0.139247939
265;0.138556436
270;0.136173904
275;0.146709636
280;0.139968544
285;0.136073783
290;0.13654539
295;0.13821952
5;0.144064069
10;0.136890158
15;0.14037177
20;0.141474888
25;0.136341438
30;0.135716036
35;0.138451993
40;0.140205801
45;0.140784949
50;0.135263756
55;0.135133877
60;0.138743937
65;0.137721673
70;0.139662102
75;0.140222907
80;0.134929717
85;0.136920512
90;0.137509182
95;0.136291802
100;0.136645213
105;0.139623597
110;0.137667909
115;0.135742068
120;0.132678136
125;0.139116555
130;0.138393313
135;0.136200801
140;0.13890706
145;0.135084882
150;0.137755975
155;0.138397768
160;0.143007055
165;0.137560964
170;0.139736146
175;0.132456273
180;0.136433467
185;0.13596648
190;0.136611834
195;0.137481138
200;0.135069892
205;0.13824743
210;0.137700379
215;0.135595426
220;0.140920013
225;0.134846762
230;0.139490753
235;0.133541435
240;0.137369037
245;0.135982648
250;0.137767121
255;0.13660498
260;0.135080785
265;0.141521931
270;0.135773316
275;0.138668403
280;0.137213081
285;0.136162132
290;0.133752659
295;0.137233332
5;0.145365015
10;0.143268645
15;0.143663362
20;0.142943621
25;0.138725698
30;0.140470207
35;0.141600654
40;0.138901964
45;0.136546716
50;0.137066334
55;0.135857478
60;0.136782557
65;0.13619335
70;0.14153485
75;0.13418813
80;0.137670428
85;0.137976572
90;0.135147303
95;0.138826728
100;0.135983691
